node,nodeId,nodeOrder,start,end,duration,state,workId,agvId
Underbody Main Weld #3,3,2,16994.100,16996.100,2.000,down,1216,
Underbody Main Weld #3,3,2,16996.100,17001.100,5.000,process,1217,
Underbody Main Weld #3,3,2,17001.100,17008.100,7.000,wait,1217,
Underbody Main Weld #3,3,2,17008.100,17011.100,3.000,down,1217,
Underbody Main Weld #3,3,2,17011.100,17015.100,4.000,process,1218,
Underbody Main Weld #3,3,2,17015.100,17022.100,7.000,wait,1218,
Underbody Main Weld #3,3,2,17022.100,17024.100,2.000,down,1218,
Underbody Main Weld #3,3,2,17024.100,17029.100,5.000,process,1219,
Underbody Main Weld #3,3,2,17029.100,17036.100,7.000,wait,1219,
Underbody Main Weld #3,3,2,17036.100,17039.100,3.000,down,1219,
Underbody Main Weld #3,3,2,17039.100,17043.100,4.000,process,1220,
Underbody Main Weld #3,3,2,17043.100,17050.100,7.000,wait,1220,
Underbody Main Weld #3,3,2,17050.100,17052.100,2.000,down,1220,
Underbody Main Weld #3,3,2,17052.100,17057.100,5.000,process,1221,
Underbody Main Weld #3,3,2,17057.100,17064.100,7.000,wait,1221,
Underbody Main Weld #3,3,2,17064.100,17067.100,3.000,down,1221,
Underbody Main Weld #3,3,2,17067.100,17071.100,4.000,process,1222,
Underbody Main Weld #3,3,2,17071.100,17078.100,7.000,wait,1222,
Underbody Main Weld #3,3,2,17078.100,17080.100,2.000,down,1222,
Underbody Main Weld #3,3,2,17080.100,17085.100,5.000,process,1223,
Underbody Main Weld #3,3,2,17085.100,17092.100,7.000,wait,1223,
Underbody Main Weld #3,3,2,17092.100,17095.100,3.000,down,1223,
Underbody Main Weld #3,3,2,17095.100,17099.100,4.000,process,1224,
Underbody Main Weld #3,3,2,17099.100,17106.100,7.000,wait,1224,
Underbody Main Weld #3,3,2,17106.100,17108.100,2.000,down,1224,
Underbody Main Weld #3,3,2,17108.100,17113.100,5.000,process,1225,
Underbody Main Weld #3,3,2,17113.100,17120.100,7.000,wait,1225,
Underbody Main Weld #3,3,2,17120.100,17123.100,3.000,down,1225,
Underbody Main Weld #3,3,2,17123.100,17127.100,4.000,process,1226,
Underbody Main Weld #3,3,2,17127.100,17134.100,7.000,wait,1226,
Underbody Main Weld #3,3,2,17134.100,17136.100,2.000,down,1226,
Underbody Main Weld #3,3,2,17136.100,17141.100,5.000,process,1227,
Underbody Main Weld #3,3,2,17141.100,17148.100,7.000,wait,1227,
Underbody Main Weld #3,3,2,17148.100,17151.100,3.000,down,1227,
Underbody Main Weld #3,3,2,17151.100,17155.100,4.000,process,1228,
Underbody Main Weld #3,3,2,17155.100,17162.100,7.000,wait,1228,
Underbody Main Weld #3,3,2,17162.100,17164.100,2.000,down,1228,
Underbody Main Weld #3,3,2,17164.100,17169.100,5.000,process,1229,
Underbody Main Weld #3,3,2,17169.100,17176.100,7.000,wait,1229,
Underbody Main Weld #3,3,2,17176.100,17179.100,3.000,down,1229,
Underbody Main Weld #3,3,2,17179.100,17183.100,4.000,process,1230,
Underbody Main Weld #3,3,2,17183.100,17190.100,7.000,wait,1230,
Underbody Main Weld #3,3,2,17190.100,17192.100,2.000,down,1230,
Underbody Main Weld #3,3,2,17192.100,17197.100,5.000,process,1231,
Underbody Main Weld #3,3,2,17197.100,17204.100,7.000,wait,1231,
Underbody Main Weld #3,3,2,17204.100,17207.100,3.000,down,1231,
Underbody Main Weld #3,3,2,17207.100,17211.100,4.000,process,1232,
Underbody Main Weld #3,3,2,17211.100,17218.100,7.000,wait,1232,
Underbody Main Weld #3,3,2,17218.100,17220.100,2.000,down,1232,
Underbody Main Weld #3,3,2,17220.100,17225.100,5.000,process,1233,
Underbody Main Weld #3,3,2,17225.100,17232.100,7.000,wait,1233,
Underbody Main Weld #3,3,2,17232.100,17235.100,3.000,down,1233,
Underbody Main Weld #3,3,2,17235.100,17239.100,4.000,process,1234,
Underbody Main Weld #3,3,2,17239.100,17246.100,7.000,wait,1234,
Underbody Main Weld #3,3,2,17246.100,17248.100,2.000,down,1234,
Underbody Main Weld #3,3,2,17248.100,17253.100,5.000,process,1235,
Underbody Main Weld #3,3,2,17253.100,17260.100,7.000,wait,1235,
Underbody Main Weld #3,3,2,17260.100,17263.100,3.000,down,1235,
Underbody Main Weld #3,3,2,17263.100,17267.100,4.000,process,1236,
Underbody Main Weld #3,3,2,17267.100,17274.100,7.000,wait,1236,
Underbody Main Weld #3,3,2,17274.100,17276.100,2.000,down,1236,
Underbody Main Weld #3,3,2,17276.100,17281.100,5.000,process,1237,
Underbody Main Weld #3,3,2,17281.100,17288.100,7.000,wait,1237,
Underbody Main Weld #3,3,2,17288.100,17291.100,3.000,down,1237,
Underbody Main Weld #3,3,2,17291.100,17295.100,4.000,process,1238,
Underbody Main Weld #3,3,2,17295.100,17302.100,7.000,wait,1238,
Underbody Main Weld #3,3,2,17302.100,17304.100,2.000,down,1238,
Underbody Main Weld #3,3,2,17304.100,17309.100,5.000,process,1239,
Underbody Main Weld #3,3,2,17309.100,17316.100,7.000,wait,1239,
Underbody Main Weld #3,3,2,17316.100,17319.100,3.000,down,1239,
Underbody Main Weld #3,3,2,17319.100,17323.100,4.000,process,1240,
Underbody Main Weld #3,3,2,17323.100,17330.100,7.000,wait,1240,
Underbody Main Weld #3,3,2,17330.100,17332.100,2.000,down,1240,
Underbody Main Weld #3,3,2,17332.100,17337.100,5.000,process,1241,
Underbody Main Weld #3,3,2,17337.100,17344.100,7.000,wait,1241,
Underbody Main Weld #3,3,2,17344.100,17347.100,3.000,down,1241,
Underbody Main Weld #3,3,2,17347.100,17351.100,4.000,process,1242,
Underbody Main Weld #3,3,2,17351.100,17358.100,7.000,wait,1242,
Underbody Main Weld #3,3,2,17358.100,17360.100,2.000,down,1242,
